AAA 177	  Independent Studies	  (0-6)	
ACC 622	  Information for Business Valuation and Decisions	  (3)	
ACC 628	  Advanced Issues in Financial Accounting and Reporting	  (3)	
ACC 635	  Financial Leadership in Organizations	  (3)	
ACC 646	  Taxes and Business Decisions	  (3)	
ACC 650	  Fraud Examination	  (3)	
ACC 653	  Assurance Services	  (3)	
ACC 655	  Control of Accounting & Reporting Risk	  (3)	
ACC 661	  Accounting Theory and Research	  (3)	
ACC 677	  Independent Studies	  (0-6)	
ACC 695	  Integrative Accounting Capstone	  (3) (MPC)	
ACE 111	  American Academic Culture for International Students	  (2)	
ACE 112	  Advanced Communications Strategies: Speaking and Listening for Academic Contexts	  (5)	
ACE 113	  Reading and Writing in Academic Contexts	  (4)	
ACE 310	  Special Topics in American Academic Culture for International Students	  (1-3; maximum 6)	
ACE 612	  Advanced Communication Strategies for Graduate International Students	  (5)	
ACE 613	  Advanced Reading and Writing for Graduate International Students	  (4)	
ACE 619	  Advanced Speaking and Presentation for Graduate International Students	  (2)	
AES 110	  Leadership Laboratory	  (1)	
AES 111	  Leadership Laboratory	  (1)	
AES 121	  Heritage and Values of the United States Air Force	  (1)	
AES 122	  Heritage and Values of the United States Air Force	  (1)	
AES 177	  Independent Studies	  (0-6)	
AES 210	  Leadership Laboratory	  (1)	
AES 211	  Leadership Laboratory	  (1)	
AES 221	  Team and Leadership Fundamentals	  (1) (MPT)	
AES 222	  Team and Leadership Fundamentals	  (1) (MPT)	
AES 277	  Independent Studies	  (0-6)	
AES 310	  Leadership Laboratory	  (1)	
AES 311	  Leadership Laboratory	  (1)	
AES 331	  Leading People and Effective Communication	  (3)	
AES 332	  Leading People and Effective Communication	  (3)	
AES 340	  Internship	  (0-20)	
AES 377	  Independent Studies	  (0-6)	
AES 410	  Leadership Laboratory	  (1)	
AES 411	  Leadership Laboratory	  (1)	
AES 431	  National Security/Leadership Responsibilities/Commissioning Preparation	  (3) (MPT)	
AES 432	  National Security/Leadership Responsibilities/Commissioning Preparation	  (3) (MPC)	
AES 477	  Independent Studies	  (0-6)	
AMS 105	  American Studies Film Series	  (1)	
AMS 135	  Understanding Jazz, Its History and Context	  (3) (MPF, MPT)	
AMS 177	  Independent Studies	  (0-6)	
AMS 183	  Images of America	  (3) (MPF)	
AMS 205	  Introduction to American Cultures	  (3) (MPF)	
AMS 206	  Approaches to American Culture	  (3)	
AMS 207	  America: Global and Intercultural Perspectives	  (3) (MPF, MPT)	
AMS 211	  Writing with Purpose: Interdisciplinary Inquiry and Communication	  (3)	
AMS 216	  Introduction to Public History	  (3)	
AMS 222	  Italian American Culture	  (3) (MPF)	
AMS 241	  Religions of the American Peoples	  (3) (MPT)	
AMS 246	  Native American Literature	  (3) (MPF)	
AMS 248	  Asian American Literature	  (3) (MPF)	
AMS 277	  Independent Studies	  (0-6)	
AMS 285	  Introduction to African American Music	  (3) (MPF, MPT)	
AMS 301	  American Identities	  (3) (MPT)	
AMS 302	  Immigrant America	  (3) (MPT)	
AMS 303	  Consumer Culture	  (3)	
AMS 304	  History, Memory, Tradition	  (3)	
AMS 305	  American Icons	  (3)	
AMS 310	  Special Topics in American Studies	  (1-4; maximum 16)	
AMS 310I	  Selected Topics/Black World Studies	  (3)	
AMS 315	  Latin American Diaspora: Communities, Conditions and Issues	  (3)	
AMS 340	  Internship in American Studies	  (0-20)	
AMS 342	  Religious Pluralism in Modern America	  (4) (MPT)	
AMS 345	  Women, Religion and Social Change in America	  (3) (MPT)	
AMS 346	  Issues in the Study of Native American Religions	  (3) (MPT)	
AMS 348	  Ethnic American Literatures	  (3)	
AMS 352	  Geographies of Urban Change	  (3) (MPF, MPT)	
AMS 357	  Gilded Age America	  (3)	
AMS 362	  The Era of the American Revolution	  (3)	
AMS 363	  The Early American Republic 1783-1815	  (3)	
AMS 367	  The United States in the 1960s	  (3) (MPT)	
AMS 371	  Native American History to 1840	  (3)	
AMS 377	  Independent Studies	  (0-6)	
AMS 379	  U	S. Consumerism, 1890-Present.  (3)	
AMS 382	  Women in American History	  (3) (MPT)	
AMS 386	  The History and Development of Hip Hop Culture in America	  (3) (MPT)	
AMS 390	  Studies in American Regionalism	  (3; maximum 6) (MPT)	
AMS 392	  Sex and Gender in American Culture	  (3) (MPT)	
AMS 397	  American Environmental History	  (3)	
AMS 401	  Senior Capstone in American Studies	  (4) (MPC)	
AMS 405	  American Studies Workshop	  (1-4; maximum 4)	
AMS 435	  Public History Practicum	  (3)	
AMS 477	  Independent Studies	  (0-6)	
AMS 677	  Independent Studies	  (0-6)	
APC 201	  Introduction to Health and Risk Communication	  (3)	
APC 311	  Science and Medicine in Public Communication	  (3)	
APC 312	  Computer-mediated Communication and Social Media	  (3)	
APC 332	  Argumentation and Debate	  (3)	
APC 336	  Advanced Interpersonal Communication	  (3)	
APC 340	  Internship	  (0-20)	
APC 341	  Methods of Rhetorical Criticism	  (3)	
APC 363	  Advanced Methods in Applied Communication	  (3)	
APC 377	  Independent Studies	  (0-6)	
APC 401	  Applied Communication Capstone	  (3) (MPC)	
APC 428	  Communication in Conflict Management	  (3)	
APC 438	  Political Communication	  (3)	
APC 450	  Topics in Applied Communication	  (3; maximum 9)	
ARB 101	  Elementary Arabic I	  (4)	
ARB 102	  Elementary Arabic II	  (4)	
ARB 177	  Independent Studies	  (0-6)	
ARB 201	  Intermediate Modern Arabic	  (3)	
ARB 202	  Intermediate Modern Arabic	  (3)	
ARB 230	  Topics in Arabic Literature in Translation	  (3)	
ARB 277	  Independent Studies	  (0-6)	
ARB 301	  Advanced Arabic	  (3)	
ARB 302	  Advanced Arabic	  (3)	
ARB 311	  Media Arabic	  (3)	
ARB 340	  Internship	  (0-20)	
ARB 377	  Independent Studies	  (0-6)	
ARB 401	  Advanced Arabic Conversation and Composition	  (3)	
ARB 477	  Independent Studies	  (0-6)	
ARB 677	  Independent Studies	  (0-6)	
ARB 680	  Directed Study in Arabic Language and Literature	  (1-4; maximum 12)	
ARC 101	  Beginning Design Studio	  (5)	
ARC 102	  Beginning Design Studio	  (5)	
ARC 103	  Shop Methods and Materials	  (1)	
ARC 105	  Introduction to Architecture	  (3)	
ARC 107	  Global Design	  (3) (MPF)	
ARC 113	  Methods of Presentation, Representation and Re-Presentation	  (2)	
ARC 114	  Methods of Presentation, Representation and Re-Presentation	  (2)	
ARC 177	  Independent Studies	  (0-6)	
ARC 188	  Ideas in Architecture	  (3) (MPF)	
ARC 201	  Architecture Studio	  (5)	
ARC 202	  Architecture Studio	  (5)	
ARC 203	  Interior Design Studio	  (5)	
ARC 204	  Interior Design Studio	  (5)	
ARC 211	  Introduction to Landscape and Urban Design	  (3)	
ARC 212	  Principles of Environmental Systems	  (3) (MPF)	
ARC 213	  Graphic Media III	  (2)	
ARC 214	  Graphic Media IV	  (2)	
ARC 221	  History of Architecture I	  (3) (MPF)	
ARC 222	  History of Architecture II	  (3) (MPF)	
ARC 225	  Design: Behavior, Perception, Aesthetics	  (3)	
ARC 277	  Independent Studies	  (0-6)	
ARC 301	  Architecture Studio	  (6)	
ARC 302	  Architecture Studio	  (6)	
ARC 303	  Interior Design Studio	  (6)	
ARC 304	  Interior Design Studio	  (6)	
ARC 309	  Furniture Design and Construction	  (3)	
ARC 321	  History of Interiors	  (3)	
ARC 340	  Internship	  (0-20; maximum 3)	
ARC 377	  Independent Studies	  (0-6)	
ARC 401	  Architecture Studio	  (6)	
ARC 402	  Architecture Studio	  (6)	
ARC 402C	  Senior Studio Capstone Experience	  (6) (MPC)	
ARC 403	  Interior Design Studio	  (6)	
ARC 404/ARC 504	  Seminars	  (1-3)	
ARC 404Y	  Mind and Medium	  (3)	
ARC 405/ARC 505	  Seminars	  (1-3)	
ARC 405V/ARC 505V	  Film & Mixed+MultiMedia	  (3)	
ARC 406/ARC 506	  Seminars	  (1-3)	
ARC 408	  Interior Design Studio	  (6) (MPC)	
ARC 410/ARC 510	  Statics & Strengths of Materials	  (3)	
ARC 411/ARC 511	  Structural Design	  (3)	
ARC 412/ARC 512	  Structural Design	  (3)	
ARC 413/ARC 513	  Environmental Systems I	  (3)	
ARC 414/ARC 514	  Environmental Systems II	  (3)	
ARC 417/ARC 517	  Architectural Materials	  (3)	
ARC 418/ARC 518	  Construction Methods	  (3)	
ARC 419	  Materials of Interior Design	  (3)	
ARC 424/ARC 524	  Seminar on Modern Architecture in Latin America	  (3)	
ARC 426/ARC 526	  Architecture and Society	  (3) (MPC)	
ARC 427/ARC 527	  The American City Since 1940	  (3) (MPT)	
ARC 435/ARC 535	  Theory and History of Landscape Architecture	  (3)	
ARC 436	  Independent Research & Programming	  (3)	
ARC 441/ARC 541	  Professional Practice	  (3)	
ARC 444	  Professional Practice in Interior Design	  (3)	
ARC 451/ARC 551	  Contemporary Architectural Theory and Practice	  (3)	
ARC 477	  Independent Studies	  (0-6)	
ARC 490/ARC 590	  Independent Studies	  (1-3)	
ARC 581	  Architectural Design Studio	  (6)	
ARC 582	  Architectural Design Studio	  (6)	
ARC 583	  Architectural Design Studio	  (6)	
ARC 601	  Architecture Studio	  (6)	
ARC 602	  Architecture Studio	  (6)	
ARC 613	  Graphic Media II	  (2-3; maximum 3)	
ARC 614	  Graphic Media III	  (2-3; maximum 3)	
ARC 621	  History of Architecture I	  (3)	
ARC 622	  History of Architecture II	  (3)	
ARC 634	  Architectural Theory	  (3)	
ARC 636	  Design & Research Methods	  (3)	
ARC 677	  Independent Studies	  (1-6)	
ARC 690	  Independent Studies	  (1-3)	
ARC 699A	  Design/Build in Ghana West Afr	  (6)	
ARC 700	  Thesis Coursework	  (1-9)	
ARC 701	  Pre-Thesis Design Studio	  (6)	
ARC 702	  Thesis Design Studio	  (6)	
ART 102	  Color Theory and Practice	  (1.5)	
ART 103	  Creative Practices in New Technology	  (1.5)	
ART 104	  Problem Solving	  (1.5)	
ART 105	  Technical Drawing	  (1.5)	
ART 106	  Introduction to Figure Drawing	  (1.5)	
ART 111	  Design and Composition	  (3; maximum 6)	
ART 121	  Observational Drawing	  (3; maximum 6)	
ART 125	  Beginning Printmaking	  (1.5)	
ART 130	  Lasercutting and Digital Design for Everyday Use	  (1.5)	
ART 131	  3D Printing and Digital Fabrication for Everyday Use	  (1.5)	
ART 140	  Beginning Glass	  (1.5)	
ART 145	  Beginning Sewing I	  (2)	
ART 146	  Beginning Sewing II	  (2)	
ART 147	  Beginning Art Photography	  (1.5)	
ART 149	  Beginning Digital Photography	  (1.5)	
ART 151	  Pre-Communication Design	  (1)	
ART 155	  Beginning Drawing	  (1.5)	
ART 160	  Beginning Ceramics	  (1.5)	
ART 162	  Arts of Africa, Oceania and Native America	  (3) (MPF)	
ART 163	  Beginning Ceramics II	  (1.5)	
ART 165	  Beginning Metals	  (1.5)	
ART 170	  Basic Woodworking	  (1.5)	
ART 171	  Visual Fundamentals: 3-D	  (3)	
ART 175	  Beginning Sculpture	  (1.5)	
ART 177	  Independent Studies	  (0-6)	
ART 181	  Concepts in Art	  (3) (MPF)	
ART 183	  Images of America	  (3) (MPF)	
ART 187	  History of Western Art: Prehistoric-Gothic	  (3) (MPF)	
ART 188	  History of Western Art: Renaissance - Modern	  (3) (MPF)	
ART 189	  History of Western Dress	  (3) (MPF, MPT)	
ART 194	  Introduction to Art Therapy	  (3)	
ART 195	  Introduction to Art Education	  (3) (MPF, MPT)	
ART 215	  3D Digital Sculpting	  (3)	
ART 218	  3D Shading and Texturing	  (3)	
ART 221	  Intermediate Drawing 1	  (3)	
ART 222	  Intermediate Drawing 2	  (3)	
ART 231	  Painting I	  (3)	
ART 233	  Global Perspectives on Dress	  (3) (MPF)	
ART 241	  Printmaking I	  (3)	
ART 248	  Design Research Methods Basics	  (1.5)	
ART 249	  Letterpress for Designers	  (1.5)	
ART 251	  Typography	  (3)	
ART 252	  Image	  (3)	
ART 253	  Design Systems	  (3)	
ART 254	  Communication Design Studio 1	  (3)	
ART 255	  Introduction to Digital Imaging	  (3)	
ART 256	  Design, Perception & Audience	  (3) (MPF, MPT)	
ART 257	  Photography	  (3)	
ART 259	  Art and Digital Tools I	  (3)	
ART 261	  Ceramics I	  (3) (MPT)	
ART 264	  Jewelry Design and Metals I	  (3) (MPT)	
ART 271	  Sculpture I	  (3) (MPT)	
ART 276	  Introduction to the Art of the Black Diaspora	  (3) (MPF)	
ART 277	  Independent Studies	  (0-6)	
ART 281	  Contemporary Art Forum	  (1; maximum 8)	
ART 283	  Modern America	  (3) (MPF)	
ART 285	  Writing and the Visual Arts	  (3)	
ART 286	  History of Asian Art, China, Korea, and Japan	  (3) (MPF, MPT)	
ART 295	  Elementary Art Methods	  (3) (MPT)	
ART 296	  Secondary Art Methods	  (3) (MPT)	
ART 305	  3D Character Design	  (3; maximum 6)	
ART 309	  The Arts of African Peoples	  (3) (MPF)	
ART 311	  Chinese Painting History	  (3) (MPT)	
ART 314	  The Renaissance in Italy	  (3) (MPT)	
ART 315	  High Renaissance and Mannerism	  (3)	
ART 316	  Baroque Art in Europe	  (3)	
ART 317	  The Arts of Colonial Latin America	  (3)	
ART 320	  Thematic Studio	  (3; maximum 12)	
ART 321	  Drawing V	  (3; maximum 6)	
ART 322	  Drawing VI	  (3; maximum 6)	
ART 326	  Modern & Contemporary East Asian Art	  (3)	
ART 331	  Painting II	  (3)	
ART 332	  Painting III	  (3)	
ART 335	  Arts of West Africa	  (3) (MPF)	
ART 340	  Internship	  (0-20)	
ART 341	  Printmaking II	  (3)	
ART 342	  Printmaking III	  (3)	
ART 343	  Fundamentals of Communication Design	  (3)	
ART 344	  Visual Identity Design	  (3)	
ART 345	  Communication Design Prototyping	  (3)	
ART 350	  Illustration	  (3; maximum 6)	
ART 352	  Communication Design Studio 2	  (3)	
ART 353	  The Business of Design	  (3)	
ART 354	  Design for Use	  (3)	
ART 357	  Photography II	  (3)	
ART 358	  Photography III	  (3)	
ART 361	  Ceramics II	  (3) (MPT)	
ART 362	  Ceramics III	  (3) (MPT)	
ART 364	  Jewelry Design and Metals II	  (3) (MPT)	
ART 365	  Jewelry Design and Metals III	  (3) (MPT)	
ART 371	  Sculpture II	  (3) (MPT)	
ART 372	  Sculpture III	  (3) (MPT)	
ART 377	  Independent Studies	  (0-6)	
ART 382	  Greek and Roman Sculpture	  (3) (MPT)	
ART 383	  Greek and Roman Painting	  (3) (MPT)	
ART 384	  Greek and Roman Decorative Arts	  (3)	
ART 386	  Art of the Weimar Republic	  (3)	
ART 389	  The History of Photography	  (3)	
ART 390	  Supplemental Problems	  (1-3; maximum 6)	
ART 391	  Field Study in Art and Architecture History	  (3; maximum 3)	
ART 395	  Art Across the Curriculum	  (3) (MPT)	
ART 406/ART 506	  Art Since 1980	  (3)	
ART 419	  Supervised Student Teaching in Art	  (15) (MPC)	
ART 420/ART 520	  Special Lecture Topics in Art History	  (3; maximum 12)	
ART 421	  Drawing VII	  (3)	
ART 431/ART 531	  Painting IV	  (3)	
ART 432/ART 532	  Painting V	  (3)	
ART 436/ART 536	  Applied Experience Design: Walt Disney World	  (3)	
ART 441/ART 541	  Printmaking IV	  (3)	
ART 442	  Printmaking V	  (3)	
ART 450/ART 550	  Letterpress Printing	  (3; maximum 9)	
ART 451	  The Professional Portfolio	  (3)	
ART 452	  Communication Design Studio 3: Degree Project	  (3) (MPC)	
ART 453	  Highwire Brand Studio	  (4) (MPC)	
ART 455/ART 555	  A History of Design	  (3)	
ART 457	  Photography IV	  (3)	
ART 458	  Photography V	  (3)	
ART 460/ART 560	  Special Topics Design Studio	  (3; maximum 9)	
ART 461/ART 561	  Ceramics IV	  (3)	
ART 462/ART 562	  Ceramics V	  (3)	
ART 464/ART 564	  Jewelry Design and Metals IV	  (3; maximum 6)	
ART 465/ART 565	  Jewelry Design & Metals V	  (3)	
ART 471/ART 571	  Sculpture IV	  (3)	
ART 472/ART 572	  Sculpture V	  (3)	
ART 477	  Independent Studies	  (0-6)	
ART 480	  Seminar in Art History	  (3; maximum 6)	
ART 486/ART 586	  Art of the Late 19th Century	  (3) (MPT)	
ART 487/ART 587	  Art of the Early 20th Century	  (3) (MPT)	
ART 488/ART 588	  Art in the Age of Revolution: 1789-1848	  (3)	
ART 489/ART 589	  Postwar to Postmodern, 1945-1980	  (3) (MPT)	
ART 490	  Supplemental Problems	  (1-3; maximum 9)	
ART 492	  Professional Artist's Portfolio and Exhibition Experience	  (3) (MPC)	
ART 493	  Professional Dispositions in Art Education	  (3) (MPC)	
ART 495	  Art Education Practicum	  (3)	
ART 496/ART 596	  Seminar on Theory for Visual Artists	  (3; maximum 6)	
ART 498	  History and Methods in Art and Architectural History	  (3) (MPC)	
ART 600	  Advanced Research Problems	  (1-3; maximum 18)	
ART 601	  Graduate Assistant Seminar	  (1-3; maximum 6)	
ART 602	  Graduate Seminar in Studio Practice	  (2; maximum 18)	
ART 620	  Graduate Study in Drawing	  (3-6; maximum 18)	
ART 622	  Experience Design Methods	  (3)	
ART 623	  Writing for Design Audiences	  (3)	
ART 624	  Design for Access	  (3)	
ART 625	  Systemic Design	  (3)	
ART 626	  Methods of Dissemination	  (3)	
ART 627	  Design Research Methods	  (3; maximum 6)	
ART 630	  Graduate Study in Painting	  (3-6; maximum 48)	
ART 640	  Internship	  (0-12; maximum 6)	
ART 645	  Graduate Study in Printmaking	  (3-6; maximum 48)	
ART 650	  Experience Design Studio	  (3; maximum 18)	
ART 651	  Design Research Theory	  (3)	
ART 657	  Graduate Study in Photography	  (3-6; maximum 24)	
ART 660	  Graduate Study in Ceramics	  (3-6; maximum 48)	
ART 664	  Graduate Study in Metals	  (3-6; maximum 48)	
ART 670	  Graduate Study in Sculpture	  (3-6; maximum 48)	
ART 677	  Independent Studies	  (0-6)	
ART 680	  Graduate Seminar in Art History	  (3; maximum 9)	
ART 690	  Special Problems	  (1-3; maximum 18)	
ART 700	  Thesis	  (1-12; maximum 18)	
ASO 201	  Introduction to Applied Social Research	  (3) (MPF)	
ASO 211	  Career Development in Psychology & Related Social Sciences	  (3)	
ASO 277	  Independent Studies	  (0-6)	
ASO 301	  Applied Social Research Methods	  (4)	
ASO 340	  Internship	  (0-20)	
ASO 377	  Independent Studies	  (0-6)	
ASO 401	  Applied Social Research Capstone	  (3) (MPC)	
ASO 477	  Independent Studies	  (0-6)	
ATH 135	  Film as Ethnography	  (1) (MPF)	
ATH 145	  Lost Cities & Ancient Civilizations	  (3) (MPF)	
ATH 155	  Introduction to Anthropology	  (3) (MPF)	
ATH 175	  Peoples of the World	  (3) (MPF, MPT)	
ATH 177	  Independent Studies	  (0-6)	
ATH 185	  Cultural Diversity in the U	S..  (3) (MPF)	
ATH 190	  Emergent Controversies: Anthropological Perspectives	  (1-4; maximum 4) (MPF)	
ATH 206	  Introduction to Latin America	  (3) (MPF, MPT)	
ATH 212	  Introduction to Archaeological Theory and Methods	  (4)	
ATH 219	  Introduction to Linguistics	  (3) (MPF)	
ATH 231	  Foundations of Cultural Anthropology	  (4) (MPT)	
ATH 235	  Imagining and Encountering the Anthropological Other	  (3) (MPF)	
ATH 235L	  The Anthropological Other	  (3)	
ATH 254	  Introduction to Russian and Eurasian Studies	  (3) (MPF)	
ATH 255	  Introduction to Biological Anthropology	  (4) (MPF)	
ATH 265	  Introduction to Linguistic Anthropology	  (4) (MPT)	
ATH 277	  Independent Studies	  (0-6)	
ATH 301	  Intercultural Relations	  (3) (MPT)	
ATH 302	  Africa: Anthropological Perspectives	  (3)	
ATH 304	  Native North America: Anthropological Perspectives	  (3) (MPT)	
ATH 305	  Latin America: Anthropological Perspectives	  (3) (MPT)	
ATH 306	  Russia and Eurasia: Anthropological Perspectives	  (3) (MPT)	
ATH 307	  The Middle East: Anthropological Perspectives	  (3) (MPF, MPT)	
ATH 308	  South Asia: Anthropological Perspectives	  (3)	
ATH 312	  North American Archaeology	  (3)	
ATH 313	  Latin American Archaeology	  (3) (MPF)	
ATH 314	  Old World Archaeology	  (3)	
ATH 325	  Identity, Race, Gender, Class	  (3) (MPT)	
ATH 327	  Pokemon and J-Pop in Global and Local Contexts	  (3) (MPF)	
ATH 329	  Religions of Africa	  (3) (MPT)	
ATH 331	  Social Anthropology	  (3) (MPT)	
ATH 335L	  Multiculturalism in Europe: Anthropological Perspectives	  (3)	
ATH 340	  Internship	  (0-20)	
ATH 345	  Global Media, Ethnography, and Film	  (3)	
ATH 348	  Introduction to Medical Anthropology	  (3)	
ATH 355	  Paleoanthropology	  (3)	
ATH 358	  Travelers, Migrants, and Refugees: Transnational Migration and Diasporic Communities	  (3) (MPF, MPT)	
ATH 361	  Language and Power	  (3) (MPF, MPT)	
ATH 364	  Language and Culture in Native North America	  (3) (MPT)	
ATH 366	  African Oral Traditions	  (3) (MPT)	
ATH 368	  Key Questions in Psychological Anthropology	  (3)	
ATH 377	  Independent Studies	  (0-6)	
ATH 378	  Doctors, Clinics, and Epidemics	  (3)	
ATH 384	  Anthropology of Capitalism: Russia	  (3) (MPT)	
ATH 388	  Culture, Art, and Artifacts	  (3)	
ATH 390	  Horizons Of Anthropology	  (1-3; maximum 12)	
ATH 395	  Primate Biology and Behavior	  (3)	
ATH 403/ATH 503	  Anthropology of Religion	  (3)	
ATH 405/ATH 505	  Food, Taste, and Desire	  (3) (MPF)	
ATH 411	  Applied Anthropology	  (3) (MPT)	
ATH 415	  Field Methods in Archaeology	  (1-6; maximum 6)	
ATH 416	  Applying Archaeology	  (3)	
ATH 421/ATH 521	  Senior Seminar in Anthropology	  (3) (MPC)	
ATH 425/ATH 525	  Ethnographic Field Methods	  (3)	
ATH 426	  Field Research	  (4-6; maximum 6) (MPF, MPC)	
ATH 428	  Anthropology of Women's Health	  (3)	
ATH 431/ATH 531	  Archaeology of Power	  (3) (MPT)	
ATH 432/ATH 532	  Secrecy and Statecraft: Spies, Censors, and Prisoners in Authoritarian and Democratic Societies	  (3) (MPT)	
ATH 436/ATH 536	  Havighurst Colloquium	  (3)	
ATH 448	  Developing Solutions in Global Health	  (3) (MPC)	
ATH 465/ATH 565	  Ethnography of Communication	  (3)	
ATH 471/ATH 571	  Ecological Anthropology	  (3) (MPT)	
ATH 477	  Independent Studies	  (0-6)	
ATH 480	  Independent Reading for Departmental Honors	  (1-6)	
ATH 491	  Anthropology Practicum	  (1-4; maximum 8)	
ATH 496	  Observing Primate Behavior	  (4)	
ATH 497	  Socio-Ecology of Primates	  (3)	
ATH 498	  Evolution of Human Behavior	  (3) (MPC)	
ATH 670	  Independent Study in Anthropology	  (1-5; maximum 12)	
ATH 677	  Independent Studies	  (0-6)	
BIO 101	  Biotechnology: Coming of Age in the 21st Century	  (3) (MPF)	
BIO 102	  Introduction to Research in Biology	  (1)	
BIO 103	  Introduction to Research in Biology (Lab Rotations)	  (2)	
BIO 104	  Developing skills and Approaches for Science Success	  (1-2; maximum 2)	
BIO 105	  Behavior of Companion Animals: Dog and Cat Behavior	  (3)	
BIO 115	  Biological Concepts: Ecology, Evolution, Genetics, and Diversity	  (4) (MPF, MPT)	
BIO 116	  Biological Concepts: Structure, Function, Cellular, and Molecular Biology	  (4) (MPF, MPT)	
BIO 121	  Environmental Biology	  (3) (MPF, MPT)	
BIO 126	  Evolution: Just a theory?	  (3) (MPF)	
BIO 128	  Religion, Science, and Origins	  (3) (MPF)	
BIO 131	  Plants, Humanity, and Environment	  (3) (MPF, MPT)	
BIO 147	  Biology Introductory Seminar	  (1)	
BIO 155	  Field Botany	  (3) (MPF)	
BIO 159	  Seminar in Neuroscience	  (1)	
BIO 161	  Principles of Human Physiology	  (4) (MPF)	
BIO 171	  Human Anatomy and Physiology	  (4) (MPF)	
BIO 172	  Human Anatomy and Physiology	  (4)	
BIO 176	  Ecology of North America	  (3) (MPF, MPT)	
BIO 177	  Independent Studies	  (0-6)	
BIO 191	  Plant Biology	  (4) (MPF, MPT)	
BIO 201	  Human Anatomy	  (4)	
BIO 203	  Introduction to Cell Biology	  (3) (MPT)	
BIO 204	  Evolution of Plant Biodiversity: Genes to Biosphere	  (4) (MPT)	
BIO 205	  Dendrology	  (4)	
BIO 206	  Evolutionary Biology	  (3) (MPT)	
BIO 209	  Fundamentals of Ecology	  (3) (MPT)	
BIO 209W	  Fundamentals of Ecology	  (3) (MPT)	
BIO 221	  Plant Propagation	  (4)	
BIO 232	  Human Heredity	  (3) (MPT)	
BIO 241	  Botanical Principles in Landscape Gardening	  (3)	
BIO 244	  Viticulture and Enology	  (3)	
BIO 255	  Introduction to Biotechnology	  (3)	
BIO 256	  Introduction to Programming for the Life Sciences	  (3)	
BIO 277	  Independent Studies	  (0-6)	
BIO 302	  Plant Taxonomy	  (4)	
BIO 305	  Human Physiology	  (4) (MPT)	
BIO 306	  Basic Horticulture	  (3)	
BIO 311	  Vertebrate Zoology	  (4) (MPT)	
BIO 312	  Invertebrate Zoology	  (4) (MPT)	
BIO 314	  Plant and Fungal Diversity	  (4) (MPT)	
BIO 320	  Directed Research	  (1-3)	
BIO 325	  Pathophysiology	  (4) (MPT)	
BIO 340	  Internship	  (0-20)	
BIO 342	  Genetics	  (3) (MPT)	
BIO 351	  Environmental Education: Focus on Natural History	  (4)	
BIO 361	  Patterns in Development	  (4) (MPT)	
BIO 377	  Independent Studies	  (0-6)	
BIO 395	  Primate Biology and Behavior	  (3)	
BIO 400	  Capstone Seminar: Contemporary Issues in Biology	  (3) (MPC)	
BIO 401/BIO 501	  Plant Ecology	  (3) (MPT)	
BIO 402/BIO 502	  Plant Anatomy	  (4) (MPT)	
BIO 403/BIO 503	  Plant Development	  (3)	
